EMPRESA|CLIENTES_COMERCIAL|CLIENTES_CON_MAESTRO|CLIENTES_SIN_MAESTRO|COMERCIALES_DISTINTOS|ZONAS_DISTINTAS|CLIENTES_CON_DESCUENTO_FIJO|DESCUENTO_FIJO_MEDIO|RIESGO_TOTAL|CLIENTES_ACTIVOS_T|URGENTE_LLAMADA_T|URGENTE_VISITA_T
ALMERIENSE|113|113|0|13|3|0|0.0|0.0|113|0|0
CHEMIE|231|231|0|16|4|0|0.0|3000.0|215|0|0
