EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_CUENTA|SALDO_BANCO_MOV|SALDO_DEUDA_MOV|INTERES_MOV|FLAG_BANCO|FLAG_DEUDA_LP|FLAG_DEUDA_CP|FLAG_INTERES|FLAG_APERTURA|FLAG_CIERRE
CHEMIE|2024|2024-09-25|1700000021||CUOTA 09/24 PREST.000253|535.01|D|535.01|0.0|DEUDA_LP_170|0.0|-535.01|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-25|1700000021||CUOTA 10/24 PREST.000253|536.57|D|536.57|0.0|DEUDA_LP_170|0.0|-536.57|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-25|1700000021||CUOTA 11/24 PREST.000253|538.13|D|538.13|0.0|DEUDA_LP_170|0.0|-538.13|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-25|1700000021||CUOTA 12/24 PREST.000253|539.7|D|539.7|0.0|DEUDA_LP_170|0.0|-539.7|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000021||Asiento de Cierre|6041.69|D|6041.69|0.0|DEUDA_LP_170|0.0|-6041.69|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000022||Asiento de Apertura|14981.18|H|0.0|14981.18|DEUDA_LP_170|0.0|14981.18|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-05|1700000022||CUOTA 01/24 PREST.82011|212.6|D|212.6|0.0|DEUDA_LP_170|0.0|-212.6|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-05|1700000022||CUOTA 02/24 PREST.82011|213.92|D|213.92|0.0|DEUDA_LP_170|0.0|-213.92|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-04|1700000022||CUOTA 03/24 PREST.82011|215.24|D|215.24|0.0|DEUDA_LP_170|0.0|-215.24|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-04|1700000022||CUOTA 04/24 PREST.82011|216.58|D|216.58|0.0|DEUDA_LP_170|0.0|-216.58|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-07|1700000022||RECIBO 05/24 PREST.82011|217.92|D|217.92|0.0|DEUDA_LP_170|0.0|-217.92|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-04|1700000022||CUOTA 06/24 PREST.82011|219.28|D|219.28|0.0|DEUDA_LP_170|0.0|-219.28|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-04|1700000022||CUOTA 07/24 PREST.82011|220.64|D|220.64|0.0|DEUDA_LP_170|0.0|-220.64|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-06|1700000022||CUOTA 08/24 PREST.82011|222.01|D|222.01|0.0|DEUDA_LP_170|0.0|-222.01|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-04|1700000022||CUOTA 09/24 PREST.82011|223.39|D|223.39|0.0|DEUDA_LP_170|0.0|-223.39|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-04|1700000022||CUOTA 10/24 PREST.82011|224.77|D|224.77|0.0|DEUDA_LP_170|0.0|-224.77|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-04|1700000022||CUOTA 11/24 PREST.82011|226.17|D|226.17|0.0|DEUDA_LP_170|0.0|-226.17|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-04|1700000022||CUOTA 12/24 PREST.82011|227.57|D|227.57|0.0|DEUDA_LP_170|0.0|-227.57|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000022||Asiento de Cierre|12341.09|D|12341.09|0.0|DEUDA_LP_170|0.0|-12341.09|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000023||Asiento de Apertura|4040.01|H|0.0|4040.01|DEUDA_LP_170|0.0|4040.01|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-22|1700000023||CUOTA 01/24 PREST.55095|176.99|D|176.99|0.0|DEUDA_LP_170|0.0|-176.99|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-21|1700000023||CUOTA 02/24 PREST.55095|178.2|D|178.2|0.0|DEUDA_LP_170|0.0|-178.2|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-21|1700000023||CUOTA 03/24 PREST.55095|179.43|D|179.43|0.0|DEUDA_LP_170|0.0|-179.43|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-22|1700000023||CUOTA 04/24 PREST.55095|180.66|D|180.66|0.0|DEUDA_LP_170|0.0|-180.66|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-21|1700000023||CUOTA 05/24 PRESTAMO.55095|181.91|D|181.91|0.0|DEUDA_LP_170|0.0|-181.91|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-21|1700000023||CUOTA 06/24 PREST.55095|183.16|D|183.16|0.0|DEUDA_LP_170|0.0|-183.16|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-22|1700000023||CUOTA 07/24 PREST.55095|184.42|D|184.42|0.0|DEUDA_LP_170|0.0|-184.42|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-22|1700000023||CUOTA 08/24 PREST.55095|185.68|D|185.68|0.0|DEUDA_LP_170|0.0|-185.68|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-23|1700000023||RECIBO 09/24 PREST.55095|186.96|D|186.96|0.0|DEUDA_LP_170|0.0|-186.96|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-21|1700000023||CUOTA 10/24 PREST.55095|188.24|D|188.24|0.0|DEUDA_LP_170|0.0|-188.24|0.0|0|1|0|0|0|0
