BLOQUE|EMPRESA|CODIGO_ALMACEN|ALMACEN|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|PRECIO_MEDIO_COMPRA|VALOR_STOCK_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|FLAG_STOCK_NEGATIVO
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|046825115|CEPILLO PVC-O 250x68 B/25 DT/115 COLA|8|CEPILLOS|-1800.000|4.560000000000000|-8208.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|154AD10|NEOPRENO ADHESIVO PLANCHA 2000x1000x10mm|7|COMPLEMENTOS VARIOS|-165.000|46.00000000000000|-7590.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|422003|CUBO CONTENEDOR NEGRO 120 LT. C/RUEDAS-PEDAL-TAPA COLOR|7|COMPLEMENTOS VARIOS|-157.000|44.91000000000000|-7050.870000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|10RND10B|CADENA 5/8 EJE HUECO RENOLD BLUE - REFORZADA ASA50|6|CADENAS / PIÑONES|-211.000|32.66000000000000|-6891.259999999999|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1181MINI|GRAPA MINIPRESTOL GALVANIZADA|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-172.000|40.00000000000000|-6880.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1186MINI|GRAPA CLIPPERS ACERO INOX. 600mm UX1SPS C/10|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-125.000|55.00000000000000|-6875.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|01033445|ACEITE ENGRANAJES COMPOUND ISO 320 (LTS.)|13|ACEITES Y GRASAS|-40.000|167.1900000000000|-6687.600000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|500144P|BANDA TRANSP. PVC 3PV 07/0           Mt2|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-183.110|35.00000000000000|-6408.850000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|10600099|RODAMIENTOS VARIOS / SOPORTES|3|RODAMIENTOS/SOPORTES/CORREAS|-482.000|13.13000000000000|-6328.660000000001|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090132|VARILLA DOBLE HORNO REF. HF/55|5|COMPLEMENTOS HORNOS/VENTILADORES|-318.000|18.50000000000000|-5883.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|511892|BANDA TRANSP. PVC 2PV 04CG           Mt2|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-253.120|22.39400000000000|-5668.369280000000|0|0|1
