EMPRESA|LOTE|CODIGO_LOTE|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
CHEMIE|122719/BAC||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC - DESENGRASANTE INDUSTRIAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|||999999|280.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|03229140098||1|ALMACEN PRINCIPAL|33073802,,|33073802|||ACTIV CLOR - LIMPIADOR DETERGENTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|||999999|288.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|072821/B||1|ALMACEN PRINCIPAL|43033800,,|43033800|||CHEMFLUID B - TALADRINA BLANCA|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|||999999|50.000|0.000|1|0|0|0|0|0|0|0|0
CHEMIE|ws20191759||1|ALMACEN PRINCIPAL|71290000,,|71290000|||SIL DOVER RP - DESBLOCANTE LUBRICANTE H1 AEROSOL|07|AEROSOLES|||999999|24.000|2.000|1|0|0|0|0|0|0|0|0
CHEMIE|211141||1|ALMACEN PRINCIPAL|94003803,,|94003803|||AIRGEN FRUTAL GOTAS - AMBIENTADOR PERSISTENTE|09|PROD. Y ACCESORIOS PARA LIMPIEZA|||999999|120.000|6.000|1|0|0|0|0|0|0|0|0
CHEMIE|050607/VIT||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-06-05|2008-06-05|-6565|30.000|0.000|0|1|0|0|0|0|0|0|0
CHEMIE|092706/MX-05||1|ALMACEN PRINCIPAL|11033800,,|11033800|||ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-09-01|2008-09-01|-6477|45.000|0.000|0|1|0|0|0|0|0|0|0
CHEMIE|141106/VIT||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2006-11-14|2008-11-14|-6403|30.000|0.000|0|1|0|0|0|0|0|0|0
CHEMIE|112713/l||1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2007-11-15|2008-11-15|-6402|60.000|0.000|0|1|0|0|0|0|0|0|0
CHEMIE|102631/GEL||1|ALMACEN PRINCIPAL|21043800,,|21043800|||LICOGEL - GEL HIDROALCOHOL HIGIENIZANTE|02|JABONES Y PASTA LAVAMANOS||2008-11-20|-6397|20.000|0.000|0|1|0|0|0|0|0|0|0
CHEMIE|052714/GEL||1|ALMACEN PRINCIPAL|21043800,,|21043800|||LICOGEL - GEL HIDROALCOHOL HIGIENIZANTE|02|JABONES Y PASTA LAVAMANOS||2008-11-26|-6391|20.000|0.000|0|1|0|0|0|0|0|0|0
