ORIGEN|EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|PVP1_SIN_IVA|PRECIO_ESPECIAL|COSTE_MEDIO|MARGEN_PCT|REBAJA_PCT_VS_PVP1|MOTIVO
PRECIOS_BASE|ALMERIENSE|||TUNELIMP|LIMPIADOR PARA TUNEL LAVADO INDUSTRIAL|||4.2||1.3|69.04761904761905||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||VMTXF010|VARIADOR MECANICO MOTOVARIO TXF 10 B5|||580.1||290.02|50.00517152215136||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||WD40-400|LUBRICANTE MULTIUSOS DIELECTRICO 400ml|||13.3||5.783333|56.51629323308271||SIN_FAMILIA
PRECIOS_BASE|ALMERIENSE|||500999|BANDA TRANSP. PVC VARIAS Y TRABAJOS PERFILES|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|0.0||5.11|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||65100005|ESMALTE SINT. IND. SIN REFERENCIAR|10|PINTURAS Y DISOLVENTES|0.0||3.01|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||82004006|BOBINA SECAMANOS MECHA ECO GOFRADA|11|PRODUCTOS QUIMICOS|2.8||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||94012812V|AMBIENTADOR AMBIPUR 3 VOLUTIONS RECAMBIO C/7|11|PRODUCTOS QUIMICOS|5.5||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01033445|ACEITE ENGRANAJES COMPOUND ISO 320 (LTS.)|13|ACEITES Y GRASAS|7.35||167.19|-2174.693877551021||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01103445|ACEITE COMPRESORES ULTRACOOLANT ENV.20|13|ACEITES Y GRASAS|22.5||435.04|-1833.511111111111||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||01133445|ACEITE COMPRESORES NAVASINT 46 ENV.45|13|ACEITES Y GRASAS|21.5||510.75|-2275.581395348837||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA Z-15 EMBOLO ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|24.95||15.61|37.43486973947896||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA MULTIALIMENTACION E3JM|14|FOTOCELULAS/FINAL CARRERA/ETC|102.38||79.2|22.64114084782183||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4MC EMBOLO ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|47.36||28.56|39.69594594594595||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4D ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|22.35||12.412|44.46532438478747||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA AJUSTABLE|14|FOTOCELULAS/FINAL CARRERA/ETC|120.2||67.135|44.14725457570715||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA REG.400|14|FOTOCELULAS/FINAL CARRERA/ETC|83.9||46.681429|44.36063289630513||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|RELE ESTATICO RAP48A5|14|FOTOCELULAS/FINAL CARRERA/ETC|43.0||27.72|35.53488372093023||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 1000mm|14|FOTOCELULAS/FINAL CARRERA/ETC|125.35||63.835714|49.07402153968886||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 6M|14|FOTOCELULAS/FINAL CARRERA/ETC|115.3||64.05|44.44926279271466||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|INTERRUPTOR POSICION C/VARILLA FLEXIBLE|14|FOTOCELULAS/FINAL CARRERA/ETC|33.46||16.725|50.01494321578003||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 600mm|14|FOTOCELULAS/FINAL CARRERA/ETC|133.5||66.755|49.99625468164795||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA  REFLEXION DIRECTA 800mm|14|FOTOCELULAS/FINAL CARRERA/ETC|190.9||84.91|55.52121529596648||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO 12M.|14|FOTOCELULAS/FINAL CARRERA/ETC|141.1||78.39|44.44365698086463||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA DIRECTA M18-400mm|14|FOTOCELULAS/FINAL CARRERA/ETC|143.46||79.7|44.44444444444445||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|CINTA REFLECTORA 1MT * 25MM|14|FOTOCELULAS/FINAL CARRERA/ETC|23.1||8.25|64.28571428571429||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA SOBRE ESPEJO 5MTS. ER1830|14|FOTOCELULAS/FINAL CARRERA/ETC|147.1||81.704|44.45683208701563||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|DETECTOR PROXIMIDAD CORTO E2EL|14|FOTOCELULAS/FINAL CARRERA/ETC|45.36||28.35|37.49999999999999||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4MC EMBOLO ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|22.47||14.98|33.33333333333333||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|SENSOR PROX. INDUCTIVO 5MTS. IA18DSN|14|FOTOCELULAS/FINAL CARRERA/ETC|34.5||20.3|41.15942028985507||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA DIRECTA M18 400mm|14|FOTOCELULAS/FINAL CARRERA/ETC|92.82||54.6|41.17647058823529||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEX. ESPEJO 2MTS.|14|FOTOCELULAS/FINAL CARRERA/ETC|96.39||56.7|41.17647058823529||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO 5MTS.|14|FOTOCELULAS/FINAL CARRERA/ETC|118.45||69.678|41.17517940059097||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA LS31 1M|14|FOTOCELULAS/FINAL CARRERA/ETC|28.27||16.632|41.16731517509727||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4N ROLDANA REGULABLE|14|FOTOCELULAS/FINAL CARRERA/ETC|22.3||13.11|41.21076233183857||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION SOBRE ESPEJO|14|FOTOCELULAS/FINAL CARRERA/ETC|127.0||70.567|44.43543307086615||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|SENSOR PROX. INDUCTIVO 5 MTS. IA18DSF|14|FOTOCELULAS/FINAL CARRERA/ETC|40.1||23.59|41.17206982543642||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA Z-15 PALANCA LARGA|14|FOTOCELULAS/FINAL CARRERA/ETC|21.25||13.44|36.75294117647059||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION SOBRE ESPEJO 10 MTS. OMRON|14|FOTOCELULAS/FINAL CARRERA/ETC|115.32||69.75|39.51612903225806||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO TEMPORIZADA 4MT|14|FOTOCELULAS/FINAL CARRERA/ETC|147.5||81.93|44.45423728813559||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA PIZZATO C/TIRADOR ANILLA 1NA+1NC|14|FOTOCELULAS/FINAL CARRERA/ETC|72.35||40.2|44.43676572218382||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA OPTICO DETECCION DIRECTA PEPPERL+FUCHS|14|FOTOCELULAS/FINAL CARRERA/ETC|89.1||43.68|50.97643097643098||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO 12M. PEPPERL+FUCHS|14|FOTOCELULAS/FINAL CARRERA/ETC|77.0||45.0|41.55844155844156||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA  REFLEXION DIRECTA 800mm M18 PNP C/ CONECTOR|14|FOTOCELULAS/FINAL CARRERA/ETC|163.8||85.975|47.51221001221002||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA MULTIALIMENTACION E3JX|14|FOTOCELULAS/FINAL CARRERA/ETC|104.8||65.5|37.5||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4NS PG13.5|14|FOTOCELULAS/FINAL CARRERA/ETC|23.9||15.92|33.38912133891213||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA D4N ROLDANA PULSANTE|14|FOTOCELULAS/FINAL CARRERA/ETC|20.35||13.12|35.52825552825554||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA XCK PALANCA+ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|25.2||15.736|37.55555555555555||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA XCK PALANCA REGULABLE+ROLDANA|14|FOTOCELULAS/FINAL CARRERA/ETC|21.45||13.923|35.09090909090909||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA  REFLEXION DIRECTA 800mm S/TEMPORIZADOR|14|FOTOCELULAS/FINAL CARRERA/ETC|149.3||93.32|37.49497655726726||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION POLARIZADA 12M. + ESPEJO|14|FOTOCELULAS/FINAL CARRERA/ETC|72.4||44.3|38.81215469613261||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA XUB9 REFLEX POLARIZADO 5 MTS. CABLE|14|FOTOCELULAS/FINAL CARRERA/ETC|73.65||40.9|44.46707399864224||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-3 MTS. PNP|14|FOTOCELULAS/FINAL CARRERA/ETC|37.2||19.56|47.41935483870969||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA CUERPO M1|14|FOTOCELULAS/FINAL CARRERA/ETC|21.9||12.88|41.18721461187214||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA CABEZA PALANCA ROLDANA D15|14|FOTOCELULAS/FINAL CARRERA/ETC|14.88||8.75|41.19623655913978||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 1000MM|14|FOTOCELULAS/FINAL CARRERA/ETC|93.9||55.23|41.18210862619809||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA SICK WTE 1500MT|14|FOTOCELULAS/FINAL CARRERA/ETC|120.6||67.0|44.44444444444444||REFERENCIA_GENERICA
