EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|HASTA_CANTIDAD_A|DESCUENTO_A|DESCUENTO2_A|PRECIO_SIN_IVA_A|PRECIO_CON_IVA_A|HASTA_CANTIDAD_B|DESCUENTO_B|DESCUENTO2_B|PRECIO_SIN_IVA_B|PRECIO_CON_IVA_B|HASTA_CANTIDAD_C|DESCUENTO_C|DESCUENTO2_C|PRECIO_SIN_IVA_C|PRECIO_CON_IVA_C|HASTA_CANTIDAD_D|DESCUENTO_D|DESCUENTO2_D|PRECIO_SIN_IVA_D|PRECIO_CON_IVA_D|PVP1_BASE|COSTE_MEDIO|FLAG_PRECIO_ESPECIAL|FLAG_DTO_ESPECIAL|FLAG_CLIENTE_SIN_MAESTRO|FLAG_ARTICULO_SIN_MAESTRO
CHEMIE|236|HORTOFRUTICOLA  MENDEZ, S.A.|12003800,,|12003800|||CHEMGRAS EC - DESENGRASANTE MAQ. AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|3.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.8|1.26|1|0|0|0
CHEMIE|236|HORTOFRUTICOLA  MENDEZ, S.A.|12012400,,|12012400|||CHEMGRAS MG - DETERGENTE MAQ. AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.8|1.31|1|0|0|0
CHEMIE|236|HORTOFRUTICOLA  MENDEZ, S.A.|33003800,,|33003800|||DEGRAS BAC - DESENGRASANTE INDUSTRIAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|5.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.1|1.958|1|0|0|0
CHEMIE|236|HORTOFRUTICOLA  MENDEZ, S.A.|33013800,,|33013800|||TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.2|1.32|1|0|0|0
CHEMIE|236|HORTOFRUTICOLA  MENDEZ, S.A.|33033800,,|33033800|||BRILL 40 - SECANTE ABRILL. HORTALIZAS|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.9|1.3|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|01021700,,|01021700|||LUBE FOOD-ACEITE C/TEFLON IND.ALIMENT.|10|ACEITES Y GRASAS|99999999.0|0.0|0.0|21.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|27.9|9.884568|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|01023800,,|01023800|||NOCOPHIL - ACEITE LIGERO ENGRASE PRECISION|10|ACEITES Y GRASAS|99999999.0|0.0|0.0|4.66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|1.584577|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|11003500,,|11003500||||||99999999.0|0.0|0.0|4.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|1
CHEMIE|237|VEGACAÑADA, S.A.|11013800,,|11013800|||CHEMGRAS MU - DESENGRASANTE MULTIUSOS|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|3.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.3|1.15|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|99999999.0|0.0|0.0|3.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.7|0.82|1|0|0|0
