EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|BENEFICIO1|BENEFICIO2|BENEFICIO3|BENEFICIO4|BENEFICIO5|DESCUENTO1|DESCUENTO2|DESCUENTO3|DESCUENTO4|DESCUENTO5|DESCUENTO6|MARGEN_EUR_PVP1_COSTE_MEDIO|MARGEN_PCT_PVP1_COSTE_MEDIO|MARGEN_EUR_PVP1_ULT_COMPRA|MARGEN_PCT_PVP1_ULT_COMPRA|FLAG_SIN_PVP1|FLAG_SIN_COSTE_MEDIO|FLAG_PVP_MENOR_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|DESUSO|CONTROL_STOCK
CHEMIE|1|ALMACEN PRINCIPAL|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|-11081.0|0.82|0.82|0.0|0.0|3.7|3.4|3.1|2.8|0.0|4.48|4.11|3.75|3.39|0.0|351.22|314.63|278.05|241.46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.88|77.83783783783784|2.88|77.83783783783784|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CHEMIE|1|ALMACEN PRINCIPAL|11033800,,|11033800|||ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|-2966.0|1.39|1.39|0.0|0.0|4.6|4.3|4.0|3.7|0.0|5.57|5.2|4.84|4.48|0.0|230.94|209.35|187.77|166.19|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.21|69.78260869565219|3.21|69.78260869565219|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CHEMIE|1|ALMACEN PRINCIPAL|11043200,,|11043200|||CHEMGRAS PL- DESENGRASANTE ESP. PLANCHAS|01|DESENGRASANTES Y LIMPIADORES GENERALES|317.0|1.34|1.278425|0.0|0.0|4.3|4.0|3.7|3.4|0.0|5.2|4.84|4.48|4.11|0.0|220.9|198.51|176.12|153.73|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.021575|70.26918604651163|2.96|68.83720930232559|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CHEMIE|1|ALMACEN PRINCIPAL|11063800,,|11063800|||EMULCHEM ECO - LIMPIADOR BASE SOLVENTE|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|2.94|2.55|0.0|0.0|6.2|5.9|5.6|5.3|0.0|7.5|7.14|6.78|6.41|0.0|110.88|100.68|90.48|80.27|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.65|58.87096774193549|3.26|52.58064516129033|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CHEMIE|1|ALMACEN PRINCIPAL|11073800,,|11073800|||CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|3430.0|1.0|0.943841|0.0|0.0|3.1|2.8|2.5|2.2|0.0|3.75|3.39|3.03|2.66|0.0|210.0|180.0|150.0|120.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.156159|69.55351612903226|2.1|67.74193548387098|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CHEMIE|1|ALMACEN PRINCIPAL|11083800,,|11083800|||CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2515.0|0.82|0.796721|0.0|0.0|2.4|2.2|2.0|1.8|0.0|2.9|2.66|2.42|2.18|0.0|192.68|168.29|143.9|119.51|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.603279|66.80329166666667|1.58|65.83333333333334|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CHEMIE|1|ALMACEN PRINCIPAL|11093800,,|11093800|||CHEMGRAS D-155 / DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.81|0.81|0.0|0.0|2.8|2.5|2.2|1.9|0.0|3.39|3.03|2.66|2.3|0.0|245.68|208.64|171.6|134.57|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.99|71.07142857142857|1.99|71.07142857142857|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CHEMIE|1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC - DESENGRASANTE MAQ. AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|-662.0|1.26|1.26|0.0|0.0|3.8|3.5|3.2|2.9|0.0|4.6|4.24|3.87|3.51|0.0|201.59|177.78|153.97|130.16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.54|66.8421052631579|2.54|66.8421052631579|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CHEMIE|1|ALMACEN PRINCIPAL|12003801,,|12003801|||CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|170.0|0.82|0.818778|0.0|0.0|2.7|2.4|2.1|1.8|0.0|3.27|2.9|2.54|2.18|0.0|229.27|192.68|156.1|119.51|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.881222|69.67488888888889|1.88|69.62962962962965|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CHEMIE|1|ALMACEN PRINCIPAL|12012400,,|12012400|||CHEMGRAS MG - DETERGENTE MAQ. AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|60.0|1.31|1.31|0.0|0.0|4.8|4.5|4.2|3.9|0.0|5.81|5.45|5.08|4.72|0.0|266.41|243.51|220.61|197.71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.49|72.70833333333333|3.49|72.70833333333333|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
