EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|UBICACION|STOCK_INICIAL|STOCK_ACTUAL|STOCK_MAXIMO|STOCK_MINIMO|STOCK_RESERVADO|STOCK_ACTUAL2|CANTIDAD_TOTAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_MEDIO_INICIAL|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|VALOR_STOCK_COSTE_MEDIO|VALOR_STOCK_ULT_COMPRA|MARGEN_PVP1_VS_COSTE_MEDIO|DESUSO|CONTROL_STOCK|FLAG_STOCK_NEGATIVO|FLAG_STOCK_CERO|FLAG_BAJO_MINIMO|FLAG_SOBRE_MAXIMO|FLAG_SIN_COSTE_MEDIO|FLAG_SIN_FAMILIA|FLAG_REFERENCIA_GENERICA|FLAG_NO_EXISTE_ARTICULO|STOCK_INICIAL_N|STOCK_ACTUAL_N|STOCK_MAXIMO_N|STOCK_MINIMO_N|STOCK_RESERVADO_N|STOCK_ACTUAL2_N|CANTIDAD_TOTAL_N|ULTIMO_PRECIO_COMPRA_N|PRECIO_MEDIO_COMPRA_N|PRECIO_MEDIO_INICIAL_N|PRECIO_COSTO_N|PRECIO_ENTRADA_N|PVP1_SIN_IVA_N|PVP1_CON_IVA_N|VALOR_STOCK_COSTE_MEDIO_N|VALOR_STOCK_ULT_COMPRA_N|MARGEN_PVP1_VS_COSTE_MEDIO_N|FLAG_STOCK_NEGATIVO_N|FLAG_STOCK_CERO_N|FLAG_BAJO_MINIMO_N|FLAG_SOBRE_MAXIMO_N|FLAG_SIN_COSTE_MEDIO_N|FLAG_SIN_FAMILIA_N|FLAG_REFERENCIA_GENERICA_N|FLAG_NO_EXISTE_ARTICULO_N
CHEMIE|1|ALMACEN PRINCIPAL|00105000,,|00105000|||DOSIFICADOR GEL AUTOMATICO BLANCO|11|APARATOS Y DOSIFICADORES||0.000|36.000|0.000|0.000|0.000|53.000|38.000|30.85000000000000|31.61833300000000|33.00000000000000|0.0000000000000000|0.0000000000000000|67.00000000000000|60.30000000000000|53.60000000000000|46.90000000000000|0.0000000000000000|81.07|72.96|64.86|56.75|0.00|1138.259988000000|1110.600000000000|35.38166700000000|F|T|0|0|0|0|0|0|0|0|0.0|36.0|0.0|0.0|0.0|53.0|38.0|30.85|31.618333|33.0|0.0|0.0|67.0|81.07|1138.259988|1110.6|35.381667|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|0010500S,,|0010500S|||SOPORTE SUELO PARA DOSIFICADOR AUTOMATICO|11|APARATOS Y DOSIFICADORES||0.000|32.000|0.000|0.000|0.000|36.000|38.000|35.00000000000000|56.88235300000000|66.00000000000000|0.0000000000000000|0.0000000000000000|105.6000000000000|99.00000000000000|92.40000000000001|85.80000000000000|0.0000000000000000|127.78|119.79|111.80|103.82|0.00|1820.235296000000|1120.000000000000|48.71764699999999|F|T|0|0|0|0|0|0|0|0|0.0|32.0|0.0|0.0|0.0|36.0|38.0|35.0|56.882353|66.0|0.0|0.0|105.6|127.78|1820.235296|1120.0|48.71764699999999|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00105010,,|00105010|||DISPENSADOR PAPEL MECHA ABS BLANCO|11|APARATOS Y DOSIFICADORES||0.000|26.000|0.000|0.000|0.000|44.000|50.000|10.09000000000000|10.18644100000000|14.09970000000000|0.0000000000000000|0.0000000000000000|21.60000000000000|19.60000000000000|17.65000000000000|15.70000000000000|0.0000000000000000|26.14|23.72|21.36|19.00|0.00|264.8474660000000|262.3400000000000|11.41355900000000|F|T|0|0|0|0|0|0|0|0|0.0|26.0|0.0|0.0|0.0|44.0|50.0|10.09|10.186441|14.0997|0.0|0.0|21.6|26.14|264.847466|262.34|11.413559|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00105030,,|00105030|||DISPENSADOR PAPEL SECAMANOS AUTOCORTANTE ABS|11|APARATOS Y DOSIFICADORES||0.000|0.000|0.000|0.000|0.000|0.000|20.000|36.75000000000000|36.75000000000000|35.00000000000000|0.0000000000000000|0.0000000000000000|66.15000000000001|63.00000000000000|58.80000000000000|56.00000000000000|0.0000000000000000|80.04|76.23|71.15|67.76|0.00|0.0000000000000000|0.0000000000000000|29.40000000000001|F|T|0|1|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|20.0|36.75|36.75|35.0|0.0|0.0|66.15|80.04|0.0|0.0|29.40000000000001|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00105040,,|00105040|||DISPENSADOR PAPEL SECAMANOS MECHA FUME/BLANCO|11|APARATOS Y DOSIFICADORES||0.000|-6.000|0.000|0.000|0.000|-2.000|183.000|17.54000000000000|17.54000000000000|17.42940000000000|0.0000000000000000|0.0000000000000000|29.70000000000000|28.00000000000000|26.40000000000000|24.70000000000000|0.0000000000000000|35.94|33.88|31.94|29.89|0.00|-105.2400000000000|-105.2400000000000|12.16000000000000|F|T|1|0|0|0|0|0|0|0|0.0|-6.0|0.0|0.0|0.0|-2.0|183.0|17.54|17.54|17.4294|0.0|0.0|29.7|35.94|-105.24|-105.24|12.16|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|001050SD,,|001050SD|||DOSIFICADOR GEL AUTOMATICO+SOPORTE SUELO METAL|11|APARATOS Y DOSIFICADORES||0.000|-14.000|0.000|0.000|0.000|-7.000|0.000|99.50000000000000|99.50000000000000|99.50000000000000|0.0000000000000000|0.0000000000000000|189.0000000000000|169.0000000000000|149.0000000000000|130.0000000000000|0.0000000000000000|228.69|204.49|180.29|157.30|0.00|-1393.000000000000|-1393.000000000000|89.50000000000000|F|T|1|0|0|0|0|0|0|0|0.0|-14.0|0.0|0.0|0.0|-7.0|0.0|99.5|99.5|99.5|0.0|0.0|189.0|228.69|-1393.0|-1393.0|89.5|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00106010,,|00106010|||PORTARROLLOS PAPEL HIGIENICO BLANCO METALICO|11|APARATOS Y DOSIFICADORES||1.000|14.000|0.000|0.000|0.000|6.000|316.000|20.41000000000000|19.46375400000000|9.303699999999999|0.0000000000000000|0.0000000000000000|36.98000000000000|34.70000000000000|32.70000000000000|30.60000000000000|0.0000000000000000|44.75|41.99|39.57|37.03|0.00|272.4925560000000|285.7400000000000|17.51624600000000|F|T|0|0|0|0|0|0|0|0|1.0|14.0|0.0|0.0|0.0|6.0|316.0|20.41|19.463754|9.3037|0.0|0.0|36.98|44.75|272.492556|285.74|17.516246|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00106011,,|00106011|||PORTARROLLOS PAPEL HIGIENICO HOJA-HOJA BLANCO|11|APARATOS Y DOSIFICADORES||0.000|5.000|0.000|0.000|0.000|-2.000|13.000|15.75000000000000|15.80769200000000|15.75000000000000|0.0000000000000000|0.0000000000000000|26.80000000000000|25.20000000000000|23.70000000000000|22.10000000000000|0.0000000000000000|32.43|30.49|28.68|26.74|0.00|79.03846000000000|78.75000000000000|10.99230800000000|F|T|0|0|0|0|0|0|0|0|0.0|5.0|0.0|0.0|0.0|-2.0|13.0|15.75|15.807692|15.75|0.0|0.0|26.8|32.43|79.03846|78.75|10.992308|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00106012,,|00106012|||PORTARROLLOS PAPEL HIGIENICO ZIG-ZAG ABS BLANCO|11|APARATOS Y DOSIFICADORES||0.000|0.000|0.000|0.000|0.000|-2.000|0.000|13.42000000000000|13.42000000000000|12.78000000000000|0.0000000000000000|0.0000000000000000|28.10000000000000|25.60000000000000|23.00000000000000|20.50000000000000|0.0000000000000000|34.00|30.98|27.83|24.81|0.00|0.0000000000000000|0.0000000000000000|14.68000000000000|F|T|0|1|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|13.42|13.42|12.78|0.0|0.0|28.1|34.0|0.0|0.0|14.68|0|1|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00106032,,|00106032|||PORTARROLLOS PAPEL HIGIENICO BLANCO ABS|11|APARATOS Y DOSIFICADORES||0.000|12.000|0.000|0.000|0.000|5.000|124.000|10.81000000000000|10.60750000000000|9.303699999999999|0.0000000000000000|0.0000000000000000|19.50000000000000|18.40000000000000|17.30000000000000|16.20000000000000|0.0000000000000000|23.60|22.26|20.93|19.60|0.00|127.2900000000000|129.7200000000000|8.892500000000000|F|T|0|0|0|0|0|0|0|0|0.0|12.0|0.0|0.0|0.0|5.0|124.0|10.81|10.6075|9.3037|0.0|0.0|19.5|23.6|127.29|129.72|8.8925|0|0|0|0|0|0|0|0
