EMPRESA|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|CODIGO_ALMACEN|ALMACEN|UBICACION|LOTE|CODIGO_LOTE|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|STOCK_ACTUAL|STOCK_RESERVADO|STOCK_MINIMO|STOCK_MAXIMO|PVP1_SIN_IVA|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|VALOR_STOCK_COSTE_MEDIO|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_STOCK_NEGATIVO|FLAG_STOCK_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
CHEMIE|44003802,,|44003802|||CHEMFORT WC - DESATASCADOR TUBERIAS 2KG.|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|1|ALMACEN PRINCIPAL||103021||2010-10-25|2011-10-25|-5328|95.000|0.000|0.000|0.000|7.400000000000000|3.870000000000000|3.854608000000000|366.1877600000000|0|1|0|0|0|0|0|0|0
CHEMIE|11073800,,|11073800|||CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||112824||2010-11-15|2011-11-15|-5307|3430.000|0.000|0.000|0.000|3.100000000000000|1.000000000000000|0.9438410000000000|3237.374630000000|0|1|0|0|0|0|0|0|0
CHEMIE|11073800,,|11073800|||CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||123020||2010-12-21|2011-12-21|-5271|3430.000|0.000|0.000|0.000|3.100000000000000|1.000000000000000|0.9438410000000000|3237.374630000000|0|1|0|0|0|0|0|0|0
CHEMIE|13093800,,|13093800|||CHEMWAX CM - CERA RESTAURADORA SUELOS|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||800645||2011-01-18|2012-01-18|-5243|0.000|0.000|0.000|0.000|4.800000000000000|1.820000000000000|1.770000000000000|0.0000000000000000|0|1|0|0|0|0|1|0|0
CHEMIE|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||800704||2011-02-07|2012-02-07|-5223|-2620.000|0.000|0.000|0.000|4.500000000000000|0.9900000000000000|0.9900000000000000|-2593.800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|11083800,,|11083800|||CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||021119/30||2011-02-16|2012-02-16|-5214|2515.000|0.000|0.000|0.000|2.400000000000000|0.8200000000000000|0.7967210000000000|2003.753315000000|0|1|0|0|0|0|0|0|0
CHEMIE|11083800,,|11083800|||CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||110190||2011-04-19|2012-04-19|-5151|2515.000|0.000|0.000|0.000|2.400000000000000|0.8200000000000000|0.7967210000000000|2003.753315000000|0|1|0|0|0|0|0|0|0
CHEMIE|32053801,,|32053801|||TR-300N / HIGIENIZANTE SUPERFICIES CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||461132061||2011-11-17|2012-11-17|-4939|0.000|0.000|0.000|0.000|5.100000000000000|1.497000000000000|1.400000000000000|0.0000000000000000|0|1|0|0|0|0|1|0|0
CHEMIE|5005001,,|5005001|||FUNGICIDA FUMIGENO - DECCOFENATO 250|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||KX99085||2010-11-30|2012-11-30|-4926|-14.000|0.000|0.000|0.000|51.20000000000000|22.27000000000000|22.27000000000000|-311.7800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|32053801,,|32053801|||TR-300N / HIGIENIZANTE SUPERFICIES CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||111683/30||2012-01-24|2013-01-24|-4871|0.000|0.000|0.000|0.000|5.100000000000000|1.497000000000000|1.400000000000000|0.0000000000000000|0|1|0|0|0|0|1|0|0
CHEMIE|11073800,,|11073800|||CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|1|ALMACEN PRINCIPAL||200532027||2012-05-17|2013-05-17|-4758|3430.000|0.000|0.000|0.000|3.100000000000000|1.000000000000000|0.9438410000000000|3237.374630000000|0|1|0|0|0|0|0|0|0
CHEMIE|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121275||2012-09-12|2013-09-12|-4640|-2620.000|0.000|0.000|0.000|4.500000000000000|0.9900000000000000|0.9900000000000000|-2593.800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|33073800,,|33073800|||ALICLOR COMPLET - DESENGRASANTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121246||2012-09-13|2013-09-13|-4639|748.000|0.000|0.000|0.000|4.500000000000000|1.967000000000000|2.009787000000000|1503.320676000000|0|1|0|0|0|0|0|0|0
CHEMIE|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121348||2012-09-26|2013-09-26|-4626|-2620.000|0.000|0.000|0.000|4.500000000000000|0.9900000000000000|0.9900000000000000|-2593.800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121386||2012-10-10|2013-10-10|-4612|-2620.000|0.000|0.000|0.000|4.500000000000000|0.9900000000000000|0.9900000000000000|-2593.800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121400||2012-10-10|2013-10-10|-4612|-2620.000|0.000|0.000|0.000|4.500000000000000|0.9900000000000000|0.9900000000000000|-2593.800000000000|0|1|0|0|0|1|0|0|0
CHEMIE|33073800,,|33073800|||ALICLOR COMPLET - DESENGRASANTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|1|ALMACEN PRINCIPAL||121334||0212-10-10|2013-10-10|-4612|748.000|0.000|0.000|0.000|4.500000000000000|1.967000000000000|2.009787000000000|1503.320676000000|0|1|0|0|0|0|0|0|0
