EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_MOVIMIENTO|SALDO_SIGNO_GESTION|FLAG_ACTIVO_20_21|FLAG_AMORT_ACUMULADA_28|FLAG_GASTO_AMORT_681_682|FLAG_PERDIDA_INMOV_671|FLAG_BENEFICIO_INMOV_771|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION|FLAG_VEHICULO
CHEMIE|2025|2025-12-31|2818000029||Amortización (MOTO BMW XR 1000 M)|1073.83|H|0.00|1073.83|AMORTIZACION_ACUMULADA_28|1073.83|0|1|0|0|0|0|0|0|1
CHEMIE|2025|2025-04-16|6710000000||Fra. Nº 2-2,MIGUEL BRAGADO GRECIANO|8607.46|D|8607.46|0.00|PERDIDA_INMOVILIZADO_671|8607.46|0|0|0|1|0|0|0|0|0
CHEMIE|2025|2025-05-12|6710000000||Fra. Nº 2-3,JERONIMO MOLINA CAPARROS|3850.07|D|3850.07|0.00|PERDIDA_INMOVILIZADO_671|3850.07|0|0|0|1|0|0|0|0|0
CHEMIE|2025|2025-07-01|6710000000||Fra. Nº 2-4,FRANCISCO JOSE MARTINEZ PUEY|4669.67|D|4669.67|0.00|PERDIDA_INMOVILIZADO_671|4669.67|0|0|0|1|0|0|0|0|0
CHEMIE|2025|2025-12-31|6710000000||Asiento de Regularización|17127.20|H|0.00|17127.20|PERDIDA_INMOVILIZADO_671|-17127.20|0|0|0|1|0|0|0|1|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Asiento de Regularización|14492.48|H|0.00|14492.48|GASTO_AMORT_INTANGIBLE_681|-14492.48|0|0|1|0|0|0|0|1|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (SUELO PARQUET)|284.14|D|284.14|0.00|GASTO_AMORT_INTANGIBLE_681|284.14|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (IPHONE 13 256 GB)|133.71|D|133.71|0.00|GASTO_AMORT_INTANGIBLE_681|133.71|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (IPHONE 17 256 GB)|10.58|D|10.58|0.00|GASTO_AMORT_INTANGIBLE_681|10.58|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (HONDA AFRICA TWIN)|690.59|D|690.59|0.00|GASTO_AMORT_INTANGIBLE_681|690.59|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (AIRE ACONDICIONADO)|334.57|D|334.57|0.00|GASTO_AMORT_INTANGIBLE_681|334.57|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (MOTO BMW XR 1000 M)|1073.83|D|1073.83|0.00|GASTO_AMORT_INTANGIBLE_681|1073.83|0|0|1|0|0|0|0|0|1
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (MINI COOPER 8717MJS)|924.57|D|924.57|0.00|GASTO_AMORT_INTANGIBLE_681|924.57|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (WEB KIT DIGITAL 2023)|400.00|D|400.00|0.00|GASTO_AMORT_INTANGIBLE_681|400.00|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (PORSCHE MACAN 7595KKJ)|4382.55|D|4382.55|0.00|GASTO_AMORT_INTANGIBLE_681|4382.55|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (REFORMA INSTALACION ELECT|231.19|D|231.19|0.00|GASTO_AMORT_INTANGIBLE_681|231.19|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (COMERCIO ELECTRONICO KIT|400.00|D|400.00|0.00|GASTO_AMORT_INTANGIBLE_681|400.00|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (MOTO DUCATI MONSTER (3371|493.13|D|493.13|0.00|GASTO_AMORT_INTANGIBLE_681|493.13|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (MOTO YAMAHA X-MAX 300 (21|266.81|D|266.81|0.00|GASTO_AMORT_INTANGIBLE_681|266.81|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (ORDENADOR HP ELITEDESK 80|80.40|D|80.40|0.00|GASTO_AMORT_INTANGIBLE_681|80.40|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (ORDENADOR BAREBONE Y DISC|98.84|D|98.84|0.00|GASTO_AMORT_INTANGIBLE_681|98.84|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (ORDENADOR PORTATIL HP 250|251.81|D|251.81|0.00|GASTO_AMORT_INTANGIBLE_681|251.81|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (FURGONETA VW CRAFTER 3422|4259.16|D|4259.16|0.00|GASTO_AMORT_INTANGIBLE_681|4259.16|0|0|1|0|0|0|0|0|1
